,country,continent
AFG,Afghanistan,Asia
AHO,Netherlands Antilles,Americas
ALB,Albania,Europe
ALG,Algeria,Africa
AND,Andorra,Europe
ANG,Angola,Africa
ANT,Antigua and Barbuda,Americas
ANZ,Australasia,Oceania
ARG,Argentina,Americas
ARM,Armenia,Europe
ARU,Aruba,Americas
ASA,American Samoa,Oceania
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Europe
BAH,Bahamas,Americas
BAN,Bangladesh,Asia
BAR,Barbados,Americas
BDI,Burundi,Africa
BEL,Belgium,Europe
BEN,Benin,Africa
BER,Bermuda,Americas
BHU,Bhutan,Asia
BIH,Bosnia and Herzegovina,Europe
BIZ,Belize,Americas
BLR,Belarus,Europe
BOH,Bohemia,Europe
BOL,Bolivia,Americas
BOT,Botswana,Africa
BRA,Brazil,Americas
BRN,Bahrain,Asia
BRU,Brunei,Asia
BUL,Bulgaria,Europe
BUR,Burkina Faso,Africa
CAF,Central African Republic,Africa
CAM,Cambodia,Asia
CAN,Canada,Americas
CAY,Cayman Islands,Americas
CGO,Republic of the Congo,Africa
CHA,Chad,Africa
CHI,Chile,Americas
CHN,China,Asia
CIV,Ivory Coast,Africa
CMR,Cameroon,Africa
COD,Democratic Republic of the Congo,Africa
COK,Cook Islands,Oceania
COL,Colombia,Americas
COM,Comoros,Africa
CPV,Cape Verde,Africa
CRC,Costa Rica,Americas
CRO,Croatia,Europe
CRT,Crete,Europe
CUB,Cuba,Americas
CYP,Cyprus,Europe
CZE,Czech Republic,Europe
DEN,Denmark,Europe
DJI,Djbouti,Africa
DMA,Dominica,Americas
DOM,Dominican Republic,Americas
ECU,Ecuador,Americas
EGY,Egypt,Africa
ERI,Eritrea,Africa
ESA,El Salvador,Americas
ESP,Spain,Europe
EST,Estonia,Europe
ETH,Ethiopia,Africa
EUN,Unified Team,Europe
FIJ,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
FRG,West Germany,Europe
FSM,Federated States of Micronesia,Oceania
GAB,Gabon,Africa
GAM,The Gambia,Africa
GBR,Great Britian,Europe
GBS,Guinea-Bissau,Africa
GDR,East Germany,Europe
GEO,Georgia,Europe
GEQ,Equatorial Guinea,Africa
GER,Germany,Europe
GHA,Ghana,Africa
GRE,Greece,Europe
GRN,Grenada,Americas
GUA,Guatemala,Americas
GUI,Guinea,Africa
GUM,Guam,Oceania
GUY,Guyana,Americas
HAI,Haiti,Americas
HKG,Hong Kong,Asia
HON,Honduras,Americas
HUN,Hungary,Europe
INA,Indonesia,Asia
IND,India,Asia
IOA,Independent Olympic Athletes,Multiple
IRI,Ireland,Europe
IRL,Ireland,Europe
IRQ,Iraq,Asia
ISL,Iceland,Europe
ISR,Israel,Europe
ISV,Virgin Islands,Americas
ITA,Italy,Europe
IVB,British Virgin Islands,Americas
JAM,Jamaica,Americas
JOR,Jordan,Asia
JPN,Japan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
KGZ,Kyrgyzstan,Asia
KIR,Kiribati,Oceania
KOR,South Korea,Asia
KOS,Kosovo,Europe
KSA,Saudi Arabia,Asia
KUW,Kuwait,Asia
LAO,Laos,Asia
LAT,Latvia,Europe
LBA,Libya,Africa
LBR,Liberia,Africa
LCA,Saint Lucia,Americas
LES,Lesotho,Africa
LIB,Lebanon,Asia
LIE,Liechtenstein,Europe
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MAD,Madagascar,Africa
MAL,Malaysia,Asia
MAR,Morocco,Africa
MAS,Malaysia,Asia
MAW,Malawi,Africa
MDA,Moldova,Europe
MDV,Maldives,Asia
MEX,Mexico,Americas
MGL,Mongolia,Asia
MHL,Marshall Islands,Oceania
MKD,North Macedonia,Europe
MLI,Mali,Africa
MLT,Malta,Europe
MNE,Montenegro,Europe
MON,Monaco,Europe
MOZ,Mozambique,Africa
MRI,Mauritius,Africa
MTN,Mauritania,Africa
MYA,Myanmar,Asia
NAM,Namibia,Africa
NBO,North Borneo,Asia
NCA,Nicaragua,Americas
NED,Netherlands,Europe
NEP,Nepal,Asia
NFL,Newfoundland,Americas
NGR,Nigeria,Africa
NIG,Niger,Africa
NOR,Norway,Europe
NRU,Nauru,Oceania
NZL,New Zealand,Oceania
OMA,Oman,Asia
PAK,Pakistan,Asia
PAN,Panama,Americas
PAR,Paraguay,Americas
PER,Peru,Americas
PHI,Philippines,Asia
PLE,Palestine,Asia
PLW,Palau,Oceania
PNG,Papua New Guinea,Oceania
POL,Poland,Europe
POR,Portugal,Europe
PRK,North Korea,Asia
PUR,Puerto Rico,Americas
QAT,Qatar,Asia
RHO,Rhodesia,Africa
ROT,Refugee Olympic Team,Africa
ROU,Romania,Europe
RSA,South Africa,Africa
RUS,Russia,Europe
RWA,Rwanda,Africa
SAA,Saar,Europe
SAM,Samoa,Oceania
SCG,Serbia and Montenegro,Europe
SEN,Senegal,Africa
SEY,Seychelles,Africa
SGP,Singapore,Asia
SKN,Saint Kitts and Nevis,Americas
SLE,Sierra Leone,Africa
SLO,Slovenia,Europe
SMR,San Marino,Europe
SOL,Solomon Islands,Oceania
SOM,Somalia,Africa
SRB,Serbia,Europe
SRI,Sri Lanka,Asia
SSD,South Sudan,Africa
STP,Sao Tome and Principe,Africa
SUD,Sudan,Africa
SUI,Switzerland,Europe
SUR,Suriname,Americas
SVK,Slovakia,Europe
SWE,Sweden,Europe
SWZ,Eswatini,Africa
SYR,Syria,Asia
TAN,Tanzania,Africa
TCH,Czechoslovakia,Europe
TGA,Tonga,Oceania
THA,Thailand,Asia
TJK,Tajikistan,Asia
TKM,Turkmenistan,Asia
TLS,Timor-Leste,Asia
TOG,Togo,Africa
TPE,Chinese Taipei,Asia
TTO,Trinidad and Tobago,Americas
TUN,Tunisia,Africa
TUR,Turkey,Europe
TUV,Tuvalu,Oceania
UAE,United Arab Emirates,Asia
UAR,United Arab Republic,Africa
UGA,Uganda,Africa
UKR,Ukraine,Europe
UNK,Unknown,Unknown
URS,Soviet Union,Europe
URU,Uruguay,Americas
USA,United States,Americas
UZB,Uzbekistan,Asia
VAN,Vanuatu,Oceania
VEN,Venezuela,Americas
VIE,Vietnam,Asia
VIN,Saint Vincent and the Grenadines,Americas
VNM,South Vietnam,Asia
WIF,West Indies Federation,Americas
YAR,North Yemen,Asia
YEM,Yemen,Asia
YMD,South Yemen,Asia
YUG,Yugoslavia,Europe
ZAM,Zambia,Africa
ZIM,Zimbabwe,Africa
